"StatusAcount1","Duration2","Credithistory3","Purpose4","Creditamount5","Savings6","employment7","Installment8","sex9","debtors10","residence11","Property12","Age13","installment14","Housing15","existingcredits16","Job17","peoplemaintenance18","Telephone19","foreign20","classlabel21"
A12,60,A33,television,7418,A65,A73,1,male,none,1,realState,27,none,own,1,unskilled,1,none,yes,1
A14,24,A34,television,2684,A61,A73,4,male,none,2,realState,35,none,own,2,unskilled,1,none,yes,1
A11,12,A31,television,2149,A61,A73,4,male,none,1,unknown,29,none,free,1,skilled,1,none,yes,2
A14,15,A32,oldCar,3812,A62,A72,1,female,none,4,car,23,none,own,1,skilled,1,yes,yes,1
A14,11,A34,television,1154,A62,A71,4,female,none,4,realState,57,none,own,3,unskilled,1,none,yes,1
A11,12,A32,furniture,1657,A61,A73,2,male,none,2,realState,27,none,own,1,skilled,1,none,yes,1
A11,24,A32,television,1603,A61,A75,4,female,none,4,car,55,none,own,1,skilled,1,none,yes,1
A11,18,A34,newCar,5302,A61,A75,2,male,none,4,unknown,36,none,free,3,management,1,yes,yes,1
A14,12,A34,education,2748,A61,A75,2,female,none,4,unknown,57,bank,free,3,unskilled,1,none,yes,1
A14,10,A34,newCar,1231,A61,A75,3,male,none,4,realState,32,none,own,2,unskilled,2,none,no,1
A12,15,A32,television,802,A61,A75,4,male,none,3,car,37,none,own,1,skilled,2,none,yes,2
A14,36,A34,A49,6304,A65,A75,4,male,none,4,realState,36,none,own,2,skilled,1,none,yes,1
A14,24,A32,television,1533,A61,A72,4,female,none,3,car,38,stores,own,1,skilled,1,yes,yes,1
A11,14,A32,newCar,8978,A61,A75,1,male,none,4,lifeInsurance,45,none,own,1,management,1,yes,no,2
A14,24,A32,television,999,A65,A75,4,male,none,2,car,25,none,own,2,skilled,1,none,yes,1
A14,18,A32,newCar,2662,A65,A74,4,male,none,3,lifeInsurance,32,none,own,1,skilled,1,none,no,1
A14,12,A34,furniture,1402,A63,A74,3,female,none,4,car,37,none,rent,1,skilled,1,yes,yes,1
A12,48,A31,newCar,12169,A65,A71,4,male,coApplicant,4,unknown,36,none,free,1,management,1,yes,yes,1
A12,48,A32,television,3060,A61,A74,4,male,none,4,realState,28,none,own,2,skilled,1,none,yes,2
A11,30,A32,repairs,11998,A61,A72,1,male,none,1,unknown,34,none,own,1,unskilled,1,yes,yes,2
A14,9,A32,television,2697,A61,A73,1,male,none,2,realState,32,none,own,1,skilled,2,none,yes,1
A14,18,A34,television,2404,A61,A73,2,female,none,2,car,26,none,own,2,skilled,1,none,yes,1
A11,12,A32,furniture,1262,A65,A75,2,male,none,4,lifeInsurance,49,none,own,1,unskilled,1,yes,yes,1
A14,6,A32,furniture,4611,A61,A72,1,female,none,4,lifeInsurance,32,none,own,1,skilled,1,none,yes,2
A14,24,A32,television,1901,A62,A73,4,male,none,4,car,29,none,rent,1,management,1,yes,yes,1
A14,15,A34,oldCar,3368,A64,A75,3,male,none,4,unknown,23,none,rent,2,skilled,1,yes,yes,1
A14,12,A32,furniture,1574,A61,A73,4,male,none,2,realState,50,none,own,1,skilled,1,none,yes,1
A13,18,A31,television,1445,A65,A74,4,male,none,4,car,49,bank,own,1,unskilled,1,none,yes,1
A14,15,A34,furniture,1520,A65,A75,4,male,none,4,lifeInsurance,63,none,own,1,skilled,1,none,yes,1
A12,24,A34,newCar,3878,A62,A72,4,male,none,2,car,37,none,own,1,skilled,1,yes,yes,1
A11,47,A32,newCar,10722,A61,A72,1,female,none,1,realState,35,none,own,1,unskilled,1,yes,yes,1
A11,48,A32,oldCar,4788,A61,A74,4,male,none,3,lifeInsurance,26,none,own,1,skilled,2,none,yes,1
A12,48,A33,other,7582,A62,A71,2,male,none,4,unknown,31,none,free,1,management,1,yes,yes,1
A12,12,A32,television,1092,A61,A73,4,female,guarantor,4,realState,49,none,own,2,skilled,1,yes,yes,1
A11,24,A33,television,1024,A61,A72,4,male,none,4,realState,48,stores,own,1,skilled,1,none,yes,2
A14,12,A32,A49,1076,A61,A73,2,male,none,2,realState,26,none,own,1,skilled,1,yes,no,1
A12,36,A32,oldCar,9398,A61,A72,1,male,none,4,car,28,none,rent,1,management,1,yes,yes,2
A11,24,A34,oldCar,6419,A61,A75,2,female,none,4,unknown,44,none,free,2,management,2,yes,yes,1
A13,42,A34,oldCar,4796,A61,A75,4,male,none,4,unknown,56,none,free,1,skilled,1,none,yes,1
A14,48,A34,A49,7629,A65,A75,4,male,none,2,car,46,bank,own,2,management,2,none,yes,1
A12,48,A32,furniture,9960,A61,A72,1,female,none,2,car,26,none,own,1,skilled,1,yes,yes,2
A14,12,A32,oldCar,4675,A65,A72,1,female,none,4,car,20,none,rent,1,skilled,1,none,yes,1
A14,10,A32,newCar,1287,A65,A75,4,male,coApplicant,2,lifeInsurance,45,none,own,1,unskilled,1,none,no,1
A14,18,A32,furniture,2515,A61,A73,3,male,none,4,realState,43,none,own,1,skilled,1,yes,yes,1
A12,21,A34,furniture,2745,A64,A74,3,male,none,2,car,32,none,own,2,skilled,1,yes,yes,1
A14,6,A32,newCar,672,A61,A71,1,female,none,4,realState,54,none,own,1,unemployed,1,yes,yes,1
A12,36,A30,television,3804,A61,A73,4,female,none,1,car,42,none,own,1,skilled,1,yes,yes,2
A13,24,A34,newCar,1344,A65,A74,4,male,none,2,realState,37,bank,own,2,unskilled,2,none,yes,2
A11,10,A34,newCar,1038,A61,A74,4,male,coApplicant,3,lifeInsurance,49,none,own,2,skilled,1,yes,yes,1
A14,48,A34,newCar,10127,A63,A73,2,male,none,2,unknown,44,bank,free,1,skilled,1,none,yes,2
A14,6,A32,furniture,1543,A64,A73,4,male,none,2,realState,33,none,own,1,skilled,1,none,yes,1
A14,30,A32,oldCar,4811,A65,A74,2,female,none,4,lifeInsurance,24,stores,rent,1,unskilled,1,none,yes,1
A11,12,A32,television,727,A62,A72,4,male,none,3,unknown,33,none,own,1,unskilled,1,yes,yes,2
A12,8,A32,furniture,1237,A61,A73,3,female,none,4,realState,24,none,own,1,skilled,1,none,yes,2
A12,9,A32,newCar,276,A61,A73,4,male,none,4,realState,22,none,rent,1,unskilled,1,none,yes,1
A12,48,A32,other,5381,A65,A71,3,male,none,4,unknown,40,bank,free,1,unemployed,1,yes,yes,1
A14,24,A32,furniture,5511,A62,A73,4,male,none,1,car,25,stores,own,1,skilled,1,none,yes,1
A13,24,A32,furniture,3749,A61,A72,2,female,none,4,car,26,none,own,1,skilled,1,none,yes,1
A12,12,A32,newCar,685,A61,A74,2,male,none,3,car,25,bank,own,1,unskilled,1,none,yes,2
A13,4,A32,newCar,1494,A65,A72,1,male,none,2,realState,29,none,own,1,unskilled,2,none,no,1
A11,36,A31,furniture,2746,A61,A75,4,male,none,4,car,31,bank,own,1,skilled,1,none,yes,2
A11,12,A32,furniture,708,A61,A73,2,male,guarantor,3,lifeInsurance,38,none,own,1,unskilled,2,none,yes,1
A12,24,A32,furniture,4351,A65,A73,1,female,none,4,lifeInsurance,48,none,own,1,unskilled,1,yes,yes,1
A14,12,A34,education,701,A61,A73,4,male,none,2,car,32,none,own,2,skilled,1,none,yes,1
A11,15,A33,furniture,3643,A61,A75,1,female,none,4,lifeInsurance,27,none,own,2,unskilled,1,none,yes,1
A12,30,A34,newCar,4249,A61,A71,4,male,none,2,car,28,none,own,2,management,1,none,yes,2
A11,24,A32,television,1938,A61,A72,4,male,none,3,lifeInsurance,32,none,own,1,skilled,1,none,yes,2
A11,24,A32,oldCar,2910,A61,A74,2,male,none,1,unknown,34,none,free,1,management,1,yes,yes,1
A11,18,A32,furniture,2659,A64,A73,4,male,none,2,car,28,none,own,1,skilled,1,none,yes,1
A14,18,A34,newCar,1028,A61,A73,4,female,none,3,realState,36,none,own,2,skilled,1,none,yes,1
A11,8,A34,newCar,3398,A61,A74,1,male,none,4,realState,39,none,own,2,unskilled,1,none,no,1
A14,12,A34,furniture,5801,A65,A75,2,male,none,4,lifeInsurance,49,none,rent,1,skilled,1,yes,yes,1
A14,24,A32,newCar,1525,A64,A74,4,female,none,3,car,34,none,own,1,skilled,2,yes,yes,1
A13,36,A32,television,4473,A61,A75,4,male,none,2,car,31,none,own,1,skilled,1,none,yes,1
A12,6,A32,television,1068,A61,A75,4,male,none,4,car,28,none,own,1,skilled,2,none,yes,1
A11,24,A34,oldCar,6615,A61,A71,2,male,none,4,unknown,75,none,free,2,management,1,yes,yes,1
A14,18,A34,education,1864,A62,A73,4,female,none,2,realState,30,none,own,2,skilled,1,none,yes,2
A12,60,A32,newCar,7408,A62,A72,4,female,none,2,lifeInsurance,24,none,own,1,management,1,none,yes,2
A14,48,A34,oldCar,11590,A62,A73,2,female,none,4,car,24,bank,rent,2,unskilled,1,none,yes,2
A11,24,A30,furniture,4110,A61,A75,3,male,none,4,unknown,23,bank,rent,2,skilled,2,none,yes,2
A11,6,A34,furniture,3384,A61,A73,1,male,none,4,realState,44,none,rent,1,management,1,yes,yes,2
A12,13,A32,television,2101,A61,A72,2,female,guarantor,4,lifeInsurance,23,none,own,1,unskilled,1,none,yes,1
A11,15,A32,domestic,1275,A65,A73,4,female,none,2,car,24,none,rent,1,skilled,1,none,yes,2
A11,24,A32,furniture,4169,A61,A73,4,male,none,4,lifeInsurance,28,none,own,1,skilled,1,none,yes,1
A12,10,A32,furniture,1521,A61,A73,4,male,none,2,car,31,none,own,1,unskilled,1,none,yes,1
A12,24,A34,education,5743,A61,A72,2,female,none,4,unknown,24,none,free,2,skilled,1,yes,yes,1
A11,21,A32,furniture,3599,A61,A74,1,female,none,4,car,26,none,rent,1,unskilled,1,none,yes,1
A12,18,A32,television,3213,A63,A72,1,male,none,3,realState,25,none,rent,1,skilled,1,none,yes,1
A12,18,A32,A49,4439,A61,A75,1,male,coApplicant,1,realState,33,bank,own,1,management,1,yes,yes,1
A13,10,A32,newCar,3949,A61,A72,1,male,guarantor,1,lifeInsurance,37,none,own,1,unskilled,2,none,yes,1
A14,15,A34,television,1459,A61,A73,4,female,none,2,car,43,none,own,1,unskilled,1,none,yes,1
A12,13,A34,television,882,A61,A72,4,male,guarantor,4,realState,23,none,own,2,skilled,1,none,yes,1
A12,24,A32,television,3758,A63,A71,1,female,none,4,unknown,23,none,rent,1,unemployed,1,none,yes,1
A14,6,A33,A49,1743,A62,A73,1,male,none,2,realState,34,none,own,2,unskilled,1,none,yes,1
A12,9,A34,education,1136,A64,A75,4,male,none,3,unknown,32,none,free,2,skilled,2,none,yes,2
A14,9,A32,domestic,1236,A61,A72,1,female,none,4,realState,23,none,rent,1,skilled,1,yes,yes,1
A12,9,A32,furniture,959,A61,A73,1,female,none,2,car,29,none,own,1,skilled,1,none,no,2
A14,18,A34,oldCar,3229,A65,A71,2,male,none,4,unknown,38,none,own,1,management,1,yes,yes,1
A11,12,A30,television,6199,A61,A73,4,male,none,2,lifeInsurance,28,none,rent,2,skilled,1,yes,yes,2
A14,10,A32,education,727,A63,A75,4,male,none,4,unknown,46,none,free,1,skilled,1,yes,yes,1
A12,24,A32,newCar,1246,A61,A72,4,male,none,2,realState,23,stores,own,1,unskilled,1,none,yes,2
A14,12,A34,television,2331,A65,A75,1,male,coApplicant,4,realState,49,none,own,1,skilled,1,yes,yes,1
A14,36,A33,television,4463,A61,A73,4,male,none,2,car,26,none,own,2,management,1,yes,yes,2
A14,12,A32,television,776,A61,A73,4,male,none,2,realState,28,none,own,1,skilled,1,none,yes,1
A11,30,A32,furniture,2406,A61,A74,4,female,none,4,realState,23,none,rent,1,skilled,1,none,yes,2
A12,18,A32,education,1239,A65,A73,4,male,none,4,unknown,61,none,free,1,skilled,1,none,yes,1
A13,12,A32,television,3399,A65,A75,2,male,none,3,car,37,none,own,1,management,1,none,yes,1
A13,12,A33,newCar,2247,A61,A73,2,female,none,2,car,36,stores,own,2,skilled,1,yes,yes,1
A14,6,A32,furniture,1766,A61,A73,1,male,none,2,lifeInsurance,21,none,rent,1,skilled,1,none,yes,1
A11,18,A32,furniture,2473,A61,A71,4,male,none,1,car,25,none,own,1,unemployed,1,none,yes,2
A14,12,A32,A49,1542,A61,A74,2,male,none,4,car,36,none,own,1,skilled,1,yes,yes,1
A14,18,A34,oldCar,3850,A61,A74,3,male,none,1,car,27,none,own,2,skilled,1,none,yes,1
A11,18,A32,furniture,3650,A61,A72,1,female,none,4,car,22,none,rent,1,skilled,1,none,yes,1
A11,36,A32,furniture,3446,A61,A75,4,male,none,2,car,42,none,own,1,skilled,2,none,yes,2
A12,18,A32,furniture,3001,A61,A74,2,female,none,4,realState,40,none,rent,1,skilled,1,none,yes,1
A14,36,A32,newCar,3079,A65,A73,4,male,none,4,realState,36,none,own,1,skilled,1,none,yes,1
A14,18,A34,television,6070,A61,A75,3,male,none,4,car,33,none,own,2,skilled,1,yes,yes,1
A14,10,A34,furniture,2146,A61,A72,1,female,none,3,realState,23,none,rent,2,skilled,1,none,yes,1
A14,60,A34,newCar,13756,A65,A75,2,male,none,4,unknown,63,bank,free,1,management,1,yes,yes,1
A12,60,A31,other,14782,A62,A75,3,female,none,4,unknown,60,bank,free,2,management,1,yes,yes,2
A11,48,A31,A49,7685,A61,A74,2,female,guarantor,4,car,37,none,rent,1,skilled,1,none,yes,2
A14,18,A33,television,2320,A61,A71,2,male,none,3,realState,34,none,own,2,skilled,1,none,yes,1
A14,7,A33,television,846,A65,A75,3,male,none,4,unknown,36,none,free,1,skilled,1,none,yes,1
A12,36,A32,newCar,14318,A61,A75,4,male,none,2,unknown,57,none,free,1,management,1,yes,yes,2
A14,6,A34,newCar,362,A62,A73,4,female,none,4,car,52,none,own,2,unskilled,1,none,yes,1
A11,20,A32,furniture,2212,A65,A74,4,male,none,4,car,39,none,own,1,skilled,1,yes,yes,1
A12,18,A32,oldCar,12976,A61,A71,3,female,none,4,unknown,38,none,free,1,management,1,yes,yes,2
A14,22,A32,newCar,1283,A65,A74,4,female,none,4,lifeInsurance,25,none,rent,1,skilled,1,none,yes,1
A13,12,A32,newCar,1330,A61,A72,4,male,none,1,realState,26,none,own,1,skilled,1,none,yes,1
A14,30,A33,A49,4272,A62,A73,2,male,none,2,lifeInsurance,26,none,own,2,unskilled,1,none,yes,1
A14,18,A34,television,2238,A61,A73,2,female,none,1,car,25,none,own,2,skilled,1,none,yes,1
A14,18,A32,television,1126,A65,A72,4,female,none,2,realState,21,none,rent,1,skilled,1,yes,yes,1
A12,18,A34,furniture,7374,A61,A71,4,male,none,4,lifeInsurance,40,stores,own,2,management,1,yes,yes,1
A12,15,A34,A49,2326,A63,A73,2,male,none,4,car,27,bank,own,1,skilled,1,none,yes,1
A14,9,A32,A49,1449,A61,A74,3,female,none,2,car,27,none,own,2,skilled,1,none,yes,1
A14,18,A32,newCar,1820,A61,A73,2,male,none,2,lifeInsurance,30,none,own,1,management,1,yes,yes,1
A12,12,A32,furniture,983,A64,A72,1,female,none,4,realState,19,none,rent,1,unskilled,1,none,yes,1
A11,36,A32,newCar,3249,A61,A74,2,male,none,4,unknown,39,bank,free,1,management,2,yes,yes,1
A11,6,A34,television,1957,A61,A74,1,female,none,4,car,31,none,own,1,skilled,1,none,yes,1
A14,9,A34,furniture,2406,A61,A71,2,male,none,3,car,31,none,own,1,management,1,none,yes,1
A12,39,A33,education,11760,A62,A74,2,male,none,3,unknown,32,none,rent,1,skilled,1,yes,yes,1
A11,12,A32,furniture,2578,A61,A71,3,female,none,4,unknown,55,none,free,1,management,1,none,yes,1
A11,36,A34,furniture,2348,A61,A73,3,male,none,2,lifeInsurance,46,none,own,2,skilled,1,yes,yes,1
A12,12,A32,newCar,1223,A61,A75,1,male,none,1,realState,46,none,rent,2,skilled,1,none,yes,2
A14,24,A34,television,1516,A64,A73,4,female,none,1,realState,43,none,own,2,unskilled,1,none,yes,1
A14,18,A32,television,1473,A61,A72,3,male,none,4,realState,39,none,own,1,skilled,1,yes,yes,1
A12,18,A34,A49,1887,A65,A73,4,male,none,4,realState,28,bank,own,2,skilled,1,none,yes,1
A14,24,A33,A49,8648,A61,A72,2,male,none,2,car,27,bank,own,2,skilled,1,yes,yes,2
A14,14,A33,newCar,802,A61,A73,4,male,none,2,car,27,none,own,2,unskilled,1,none,yes,1
A12,18,A33,newCar,2899,A65,A75,4,male,none,4,car,43,none,own,1,skilled,2,none,yes,1
A12,24,A32,television,2039,A61,A72,1,male,none,1,lifeInsurance,22,none,own,1,skilled,1,yes,yes,2
A14,24,A34,oldCar,2197,A65,A74,4,male,none,4,car,43,none,own,2,skilled,2,yes,yes,1
A11,15,A32,television,1053,A61,A72,4,male,none,2,realState,27,none,own,1,skilled,1,none,no,1
A14,24,A32,television,3235,A63,A75,3,male,none,2,car,26,none,own,1,management,1,yes,yes,1
A13,12,A34,newCar,939,A63,A74,4,male,none,2,realState,28,none,own,3,skilled,1,yes,yes,2
A12,24,A32,television,1967,A61,A75,4,female,none,4,car,20,none,own,1,skilled,1,yes,yes,1
A14,33,A34,oldCar,7253,A61,A74,3,male,none,2,car,35,none,own,2,management,1,yes,yes,1
A14,12,A34,A49,2292,A61,A71,4,male,none,2,car,42,stores,own,2,management,1,yes,yes,2
A14,10,A32,newCar,1597,A63,A73,3,male,none,2,unknown,40,none,rent,1,unskilled,2,none,no,1
A11,24,A32,newCar,1381,A65,A73,4,female,none,2,lifeInsurance,35,none,own,1,skilled,1,none,yes,2
A14,36,A34,oldCar,5842,A61,A75,2,male,none,2,lifeInsurance,35,none,own,2,skilled,2,yes,yes,1
A11,12,A32,newCar,2579,A61,A72,4,male,none,1,realState,33,none,own,1,unskilled,2,none,yes,2
A11,18,A33,education,8471,A65,A73,1,female,none,2,car,23,none,rent,2,skilled,1,yes,yes,1
A14,21,A32,newCar,2782,A63,A74,1,female,none,2,car,31,bank,own,1,management,1,none,yes,1
A12,18,A32,newCar,1042,A65,A73,4,female,none,2,lifeInsurance,33,none,own,1,skilled,1,none,yes,2
A14,15,A32,newCar,3186,A64,A74,2,female,none,3,car,20,none,rent,1,skilled,1,none,yes,1
A12,12,A32,oldCar,2028,A65,A73,4,male,none,2,car,30,none,own,1,skilled,1,none,yes,1
A12,12,A34,newCar,958,A61,A74,2,male,none,3,realState,47,none,own,2,unskilled,2,none,yes,1
A14,21,A33,furniture,1591,A62,A74,4,male,none,3,realState,34,none,own,2,management,1,none,yes,1
A12,12,A32,furniture,2762,A65,A75,1,female,none,2,lifeInsurance,25,bank,own,1,skilled,1,yes,yes,2
A12,18,A32,oldCar,2779,A61,A73,1,male,none,3,car,21,none,rent,1,skilled,1,yes,yes,1
A14,28,A34,television,2743,A61,A75,4,male,none,2,car,29,none,own,2,skilled,1,none,yes,1
A14,18,A34,television,1149,A64,A73,4,male,none,3,realState,46,none,own,2,skilled,1,none,yes,1
A14,9,A32,furniture,1313,A61,A75,1,male,none,4,car,20,none,own,1,skilled,1,none,yes,1
A11,18,A34,repairs,1190,A61,A71,2,female,none,4,unknown,55,none,free,3,unemployed,2,none,yes,2
A14,5,A32,A49,3448,A61,A74,1,male,none,4,realState,74,none,own,1,unskilled,1,none,yes,1
A12,24,A32,other,11328,A61,A73,2,male,coApplicant,3,car,29,bank,own,2,management,1,yes,yes,2
A11,6,A34,furniture,1872,A61,A71,4,male,none,4,unknown,36,none,free,3,management,1,yes,yes,1
A14,24,A34,repairs,2058,A61,A73,4,male,none,2,realState,33,none,own,2,skilled,1,yes,yes,1
A11,9,A32,furniture,2136,A61,A73,3,male,none,2,realState,25,none,own,1,skilled,1,none,yes,1
A12,12,A32,television,1484,A65,A73,2,male,none,1,realState,25,none,own,1,skilled,1,yes,yes,2
A14,6,A32,repairs,660,A63,A74,2,male,none,4,realState,23,none,rent,1,unskilled,1,none,yes,1
A14,24,A34,newCar,1287,A64,A75,4,female,none,4,realState,37,none,own,2,skilled,1,yes,yes,1
A11,42,A34,repairs,3394,A61,A71,4,male,coApplicant,4,car,65,none,own,2,unemployed,1,none,yes,1
A13,12,A31,A49,609,A61,A72,4,female,none,1,realState,26,none,own,1,unemployed,1,none,yes,2
A14,12,A32,newCar,1884,A61,A75,4,male,none,4,car,39,none,own,1,management,1,yes,yes,1
A11,12,A32,furniture,1620,A61,A73,2,female,coApplicant,3,lifeInsurance,30,none,own,1,skilled,1,none,yes,1
A12,20,A33,other,2629,A61,A73,2,male,none,3,car,29,bank,own,2,skilled,1,yes,yes,1
A14,12,A32,education,719,A61,A75,4,male,none,4,car,41,bank,own,1,unskilled,2,none,yes,2
A12,48,A34,furniture,5096,A61,A73,2,female,none,3,car,30,none,own,1,management,1,yes,yes,2
A14,9,A34,education,1244,A65,A75,4,female,none,4,lifeInsurance,41,none,rent,2,unskilled,1,none,yes,1
A11,36,A32,newCar,1842,A61,A72,4,female,none,4,car,34,none,own,1,skilled,1,yes,yes,2
A12,7,A32,television,2576,A61,A73,2,male,guarantor,2,realState,35,none,own,1,skilled,1,none,yes,1
A13,12,A32,furniture,1424,A65,A75,3,female,none,4,realState,55,none,own,1,management,1,yes,yes,1
A12,15,A33,repairs,1512,A64,A73,3,male,none,3,lifeInsurance,61,stores,own,2,skilled,1,none,yes,2
A14,36,A34,oldCar,11054,A65,A73,4,male,none,2,car,30,none,own,1,management,1,yes,yes,1
A14,6,A32,television,518,A61,A73,3,female,none,1,realState,29,none,own,1,skilled,1,none,yes,1
A14,12,A30,furniture,2759,A61,A75,2,male,none,4,lifeInsurance,34,none,own,2,skilled,1,none,yes,1
A14,24,A32,oldCar,2670,A61,A75,4,male,none,4,car,35,none,own,1,management,1,yes,yes,1
A11,24,A32,newCar,4817,A61,A74,2,male,coApplicant,3,lifeInsurance,31,none,own,1,skilled,1,yes,yes,2
A14,24,A32,oldCar,2679,A61,A72,4,female,none,1,unknown,29,none,own,1,management,1,yes,yes,1
A11,11,A34,newCar,3905,A61,A73,2,male,none,2,realState,36,none,rent,2,skilled,2,none,yes,1
A11,12,A32,oldCar,3386,A61,A75,3,male,none,4,unknown,35,none,free,1,skilled,1,yes,yes,2
A11,6,A32,domestic,343,A61,A72,4,female,none,1,realState,27,none,own,1,skilled,1,none,yes,1
A14,18,A32,television,4594,A61,A72,3,male,none,2,car,32,none,own,1,skilled,1,yes,yes,1
A11,36,A32,furniture,3620,A61,A73,1,male,guarantor,2,lifeInsurance,37,none,own,1,skilled,2,none,yes,1
A11,15,A32,newCar,1721,A61,A72,2,male,none,3,realState,36,none,own,1,skilled,1,none,yes,1
A12,12,A32,furniture,3017,A61,A72,3,female,none,1,realState,34,none,rent,1,management,1,none,yes,1
A12,12,A32,retraining,754,A65,A75,4,male,none,4,lifeInsurance,38,none,own,2,skilled,1,none,yes,1
A14,18,A32,A49,1950,A61,A74,4,male,none,1,car,34,stores,own,2,skilled,1,yes,yes,1
A11,24,A32,oldCar,2924,A61,A73,3,male,guarantor,4,unknown,63,bank,own,1,skilled,2,yes,yes,1
A11,24,A33,television,1659,A61,A72,4,female,none,2,car,29,none,rent,1,unskilled,1,yes,yes,2
A14,48,A33,television,7238,A65,A75,3,male,none,3,car,32,bank,own,2,skilled,2,none,yes,1
A14,33,A33,A49,2764,A61,A73,2,female,none,2,car,26,none,own,2,skilled,1,yes,yes,1
A14,24,A33,oldCar,4679,A61,A74,3,male,none,3,car,35,none,own,2,unskilled,1,yes,yes,1
A12,24,A32,television,3092,A62,A72,3,male,none,2,car,22,none,rent,1,skilled,1,yes,yes,2
A11,6,A32,education,448,A61,A72,4,female,none,4,lifeInsurance,23,none,own,1,skilled,1,none,yes,2
A11,9,A32,newCar,654,A61,A73,4,male,none,3,car,28,none,own,1,unskilled,1,none,yes,2
A14,6,A32,retraining,1238,A65,A71,4,male,none,4,lifeInsurance,36,none,own,1,management,2,yes,yes,1
A12,18,A34,television,1245,A61,A73,4,male,none,2,car,33,none,own,1,skilled,1,none,yes,2
A11,18,A30,furniture,3114,A61,A72,1,female,none,4,lifeInsurance,26,none,rent,1,skilled,1,none,yes,2
A14,39,A32,oldCar,2569,A63,A73,4,male,none,4,car,24,none,own,1,skilled,1,none,yes,1
A13,24,A32,television,5152,A61,A74,4,male,none,2,car,25,bank,own,1,skilled,1,none,yes,1
A12,12,A32,A49,1037,A62,A74,3,male,none,4,realState,39,none,own,1,unskilled,1,none,yes,1
A11,15,A34,furniture,1478,A61,A75,4,male,none,4,car,44,none,own,2,skilled,2,yes,yes,1
A12,12,A34,television,3573,A61,A73,1,female,none,1,realState,23,none,own,1,unskilled,1,none,yes,1
A12,24,A32,newCar,1201,A61,A72,4,male,none,1,lifeInsurance,26,none,own,1,skilled,1,none,yes,1
A11,30,A32,furniture,3622,A64,A75,4,female,none,4,lifeInsurance,57,none,rent,2,skilled,1,yes,yes,1
A14,15,A33,furniture,960,A64,A74,3,female,none,2,lifeInsurance,30,none,own,2,skilled,1,none,yes,1
A14,12,A34,newCar,1163,A63,A73,4,male,none,4,realState,44,none,own,1,skilled,1,yes,yes,1
A12,6,A33,newCar,1209,A61,A71,4,male,none,4,lifeInsurance,47,none,own,1,management,1,yes,yes,2
A14,12,A32,television,3077,A61,A73,2,male,none,4,car,52,none,own,1,skilled,1,yes,yes,1
A14,24,A32,newCar,3757,A61,A75,4,female,coApplicant,4,unknown,62,none,free,1,skilled,1,yes,yes,1
A14,10,A32,newCar,1418,A62,A73,3,male,none,2,realState,35,none,rent,1,unskilled,1,none,no,1
A14,6,A32,newCar,3518,A61,A73,2,male,guarantor,3,lifeInsurance,26,none,rent,1,skilled,1,none,yes,1
A14,12,A34,television,1934,A61,A75,2,male,none,2,unknown,26,none,own,2,skilled,1,none,yes,1
A12,27,A30,A49,8318,A61,A75,2,female,none,4,unknown,42,none,free,2,management,1,yes,yes,2
A14,6,A34,television,1237,A62,A73,1,female,none,1,lifeInsurance,27,none,own,2,skilled,1,none,yes,1
A12,6,A32,television,368,A65,A75,4,male,none,4,lifeInsurance,38,none,own,1,skilled,1,none,yes,1
A11,12,A34,newCar,2122,A61,A73,3,male,none,2,realState,39,none,rent,2,unskilled,2,none,no,1
A11,24,A32,furniture,2996,A65,A73,2,male,none,4,car,20,none,own,1,skilled,1,none,yes,2
A12,36,A32,furniture,9034,A62,A72,4,male,coApplicant,1,unknown,29,none,rent,1,management,1,yes,yes,2
A14,24,A34,furniture,1585,A61,A74,4,male,none,3,lifeInsurance,40,none,own,2,skilled,1,none,yes,1
A12,18,A32,television,1301,A61,A75,4,male,guarantor,2,realState,32,none,own,1,unskilled,1,none,yes,1
A13,6,A34,newCar,1323,A62,A75,2,male,none,4,car,28,none,own,2,skilled,2,yes,yes,1
A11,24,A32,newCar,3123,A61,A72,4,female,none,1,lifeInsurance,27,none,own,1,skilled,1,none,yes,2
A11,36,A32,oldCar,5493,A61,A75,2,male,none,4,unknown,42,none,free,1,skilled,2,none,yes,1
A13,9,A32,television,1126,A62,A75,2,male,none,4,realState,49,none,own,1,skilled,1,none,yes,1
A12,24,A34,television,1216,A62,A72,4,male,none,4,unknown,38,bank,own,2,skilled,2,none,yes,2
A11,24,A32,newCar,1207,A61,A72,4,female,none,4,lifeInsurance,24,none,rent,1,skilled,1,none,yes,2
A14,10,A32,newCar,1309,A65,A73,4,male,guarantor,4,lifeInsurance,27,none,own,1,unskilled,1,none,yes,2
A13,15,A34,oldCar,2360,A63,A73,2,male,none,2,car,36,none,own,1,skilled,1,yes,yes,1
A12,15,A31,newCar,6850,A62,A71,1,male,none,2,lifeInsurance,34,none,own,1,management,2,yes,yes,2
A14,24,A32,television,1413,A61,A73,4,male,none,2,lifeInsurance,28,none,own,1,skilled,1,none,yes,1
A14,39,A32,oldCar,8588,A62,A75,4,male,none,2,car,45,none,own,1,management,1,yes,yes,1
A11,12,A32,newCar,759,A61,A74,4,male,none,2,realState,26,none,own,1,skilled,1,none,yes,2
A14,36,A32,oldCar,4686,A61,A73,2,male,none,2,unknown,32,none,free,1,management,1,yes,yes,1
